"","DateTime","CU.GRGR..BHZ.M"
"384",2010-01-12 22:03:50,57345.7075
"385",2010-01-12 22:04:00,-86203.3175
"386",2010-01-12 22:04:10,20410.53
"387",2010-01-12 22:04:20,103067.495
"388",2010-01-12 22:04:30,-98987.9
"389",2010-01-12 22:04:40,-8868.9575
"390",2010-01-12 22:04:50,69584.925
"391",2010-01-12 22:05:00,-521.9675
"392",2010-01-12 22:05:10,-141967.2325
"393",2010-01-12 22:05:20,118740.3425
"394",2010-01-12 22:05:30,74184.4225
"395",2010-01-12 22:05:40,-227425.6525
"396",2010-01-12 22:05:50,156950.67
"397",2010-01-12 22:06:00,-97317.62
"398",2010-01-12 22:06:10,114259.54
"399",2010-01-12 22:06:20,-97399.96
"400",2010-01-12 22:06:30,9659.1425
"401",2010-01-12 22:06:40,64011.0225
"402",2010-01-12 22:06:50,-43337.195
"403",2010-01-12 22:07:00,-19040.85
"404",2010-01-12 22:07:10,-54738.8925
"405",2010-01-12 22:07:20,201688.275
"406",2010-01-12 22:07:30,-51848.12
"407",2010-01-12 22:07:40,-113817.5775
"408",2010-01-12 22:07:50,86075.205
"409",2010-01-12 22:08:00,137296.165
"410",2010-01-12 22:08:10,-169788.135
"411",2010-01-12 22:08:20,-97706.85
"412",2010-01-12 22:08:30,180761.3875
"413",2010-01-12 22:08:40,24116.4
"414",2010-01-12 22:08:50,-49446.26
"415",2010-01-12 22:09:00,-35693.015
"416",2010-01-12 22:09:10,24491.4925
"417",2010-01-12 22:09:20,-16986.5725
"418",2010-01-12 22:09:30,117057.5925
"419",2010-01-12 22:09:40,-113844.4875
"420",2010-01-12 22:09:50,-53085.74
"421",2010-01-12 22:10:00,42592.8025
"422",2010-01-12 22:10:10,63232.985
"423",2010-01-12 22:10:20,41027.2725
"424",2010-01-12 22:10:30,-174326.9325
"425",2010-01-12 22:10:40,85719.3875
"426",2010-01-12 22:10:50,-1506.0475
"427",2010-01-12 22:11:00,5286.495
"428",2010-01-12 22:11:10,25061.2375
"429",2010-01-12 22:11:20,22011.845
"430",2010-01-12 22:11:30,-25623.415
"431",2010-01-12 22:11:40,-30807.73
"432",2010-01-12 22:11:50,-48776.725
"433",2010-01-12 22:12:00,60545.34
"434",2010-01-12 22:12:10,2109.9975
"435",2010-01-12 22:12:20,80571.9875
"436",2010-01-12 22:12:30,-73763.4725
"437",2010-01-12 22:12:40,20962.7325
"438",2010-01-12 22:12:50,4207.9925
"439",2010-01-12 22:13:00,36670.8775
"440",2010-01-12 22:13:10,15582.2475
"441",2010-01-12 22:13:20,1669.1575
"442",2010-01-12 22:13:30,38962.5575
"443",2010-01-12 22:13:40,-67562.6975
"444",2010-01-12 22:13:50,-54792.9925
"445",2010-01-12 22:14:00,8871.9875
"446",2010-01-12 22:14:10,-46620.3125
"447",2010-01-12 22:14:20,119891.6075
"448",2010-01-12 22:14:30,14018.87
"449",2010-01-12 22:14:40,98088.4225
"450",2010-01-12 22:14:50,-29535.24
"451",2010-01-12 22:15:00,-95491.1425
"452",2010-01-12 22:15:10,-128053.2775
"453",2010-01-12 22:15:20,13530.6825
"454",2010-01-12 22:15:30,31690.05
"455",2010-01-12 22:15:40,-25102.865
"456",2010-01-12 22:15:50,36605.5825
"457",2010-01-12 22:16:00,10447.2925
"458",2010-01-12 22:16:10,26133.085
"459",2010-01-12 22:16:20,-50675.8875
"460",2010-01-12 22:16:30,-63751.49
"461",2010-01-12 22:16:40,31396.5175
"462",2010-01-12 22:16:50,19327.4825
"463",2010-01-12 22:17:00,92157.8075
"464",2010-01-12 22:17:10,22092.985
"465",2010-01-12 22:17:20,-26485.0075
"466",2010-01-12 22:17:30,7391.7975
"467",2010-01-12 22:17:40,-29404.675
"468",2010-01-12 22:17:50,2477.3275
"469",2010-01-12 22:18:00,-9830.125
"470",2010-01-12 22:18:10,-54077.72
"471",2010-01-12 22:18:20,-6021.1975
"472",2010-01-12 22:18:30,3984.445
"473",2010-01-12 22:18:40,47829.895
"474",2010-01-12 22:18:50,2870.5525
"475",2010-01-12 22:19:00,19323.7525
"476",2010-01-12 22:19:10,2247.37
"477",2010-01-12 22:19:20,21623.3325
"478",2010-01-12 22:19:30,-6575.1575
"479",2010-01-12 22:19:40,4231.6275
"480",2010-01-12 22:19:50,-11248.0475
"481",2010-01-12 22:20:00,6738.2775
"482",2010-01-12 22:20:10,6763.79
"483",2010-01-12 22:20:20,3962.445
"484",2010-01-12 22:20:30,21904.6
"485",2010-01-12 22:20:40,-52020.83
"486",2010-01-12 22:20:50,550.1125
"487",2010-01-12 22:21:00,-3212.285
"488",2010-01-12 22:21:10,22697.7875
"489",2010-01-12 22:21:20,9718.4025
"490",2010-01-12 22:21:30,-3990.1925
"491",2010-01-12 22:21:40,4327.6575
"492",2010-01-12 22:21:50,-11534.0075
"493",2010-01-12 22:22:00,-20818.28
"494",2010-01-12 22:22:10,45493.255
"495",2010-01-12 22:22:20,4116.43
"496",2010-01-12 22:22:30,-6551.5025
"497",2010-01-12 22:22:40,-1944.7725
"498",2010-01-12 22:22:50,-6135.45
"499",2010-01-12 22:23:00,-3861.8475
"500",2010-01-12 22:23:10,12573.86
"501",2010-01-12 22:23:20,-3010.43
"502",2010-01-12 22:23:30,-6185.255
"503",2010-01-12 22:23:40,4280.265
"504",2010-01-12 22:23:50,11312.0325
"505",2010-01-12 22:24:00,-19578.565
"506",2010-01-12 22:24:10,34612.625
"507",2010-01-12 22:24:20,-13375.7675
"508",2010-01-12 22:24:30,-1205.9375
"509",2010-01-12 22:24:40,-15509.4025
"510",2010-01-12 22:24:50,29864.75
"511",2010-01-12 22:25:00,-11291.25
"512",2010-01-12 22:25:10,-6775.365
"513",2010-01-12 22:25:20,30417.9
"514",2010-01-12 22:25:30,-39099.045
"515",2010-01-12 22:25:40,16136.6825
"516",2010-01-12 22:25:50,-27309.0625
"517",2010-01-12 22:26:00,39356.2675
"518",2010-01-12 22:26:10,-17992.115
"519",2010-01-12 22:26:20,11572.215
"520",2010-01-12 22:26:30,19410.575
"521",2010-01-12 22:26:40,-21337.495
"522",2010-01-12 22:26:50,-13288.835
"523",2010-01-12 22:27:00,5843.065
"524",2010-01-12 22:27:10,20099.23
"525",2010-01-12 22:27:20,-3331.3475
"526",2010-01-12 22:27:30,-7467.595
"527",2010-01-12 22:27:40,7396.3525
"528",2010-01-12 22:27:50,-1837.355
"529",2010-01-12 22:28:00,-3389.495
"530",2010-01-12 22:28:10,8529.415
"531",2010-01-12 22:28:20,-10449.805
"532",2010-01-12 22:28:30,11333.31
"533",2010-01-12 22:28:40,-6156.33
"534",2010-01-12 22:28:50,24227.01
"535",2010-01-12 22:29:00,-23091.755
"536",2010-01-12 22:29:10,4111.08
"537",2010-01-12 22:29:20,989.7525
"538",2010-01-12 22:29:30,-165.85
"539",2010-01-12 22:29:40,-1819.77
"540",2010-01-12 22:29:50,19197.775
"541",2010-01-12 22:30:00,-12921.3575
"542",2010-01-12 22:30:10,12968.5525
"543",2010-01-12 22:30:20,-7872.75
"544",2010-01-12 22:30:30,9641.2575
"545",2010-01-12 22:30:40,-5447.25
"546",2010-01-12 22:30:50,10912.0525
"547",2010-01-12 22:31:00,692.14
"548",2010-01-12 22:31:10,2543.88
"549",2010-01-12 22:31:20,-9442.565
"550",2010-01-12 22:31:30,2075.24
"551",2010-01-12 22:31:40,-4974.045
"552",2010-01-12 22:31:50,18309.47
"553",2010-01-12 22:32:00,-17205.745
"554",2010-01-12 22:32:10,12461.1525
"555",2010-01-12 22:32:20,-4883.0475
"556",2010-01-12 22:32:30,-2903.475
"557",2010-01-12 22:32:40,12548.085
"558",2010-01-12 22:32:50,-3743.14
"559",2010-01-12 22:33:00,243.3325
"560",2010-01-12 22:33:10,18892.1325
"561",2010-01-12 22:33:20,-23021.085
"562",2010-01-12 22:33:30,1131.13
"563",2010-01-12 22:33:40,4201.445
"564",2010-01-12 22:33:50,17393.51
"565",2010-01-12 22:34:00,-11289.92
"566",2010-01-12 22:34:10,14180.35
"567",2010-01-12 22:34:20,-1509.4625
"568",2010-01-12 22:34:30,-3454.535
"569",2010-01-12 22:34:40,-11261.9625
"570",2010-01-12 22:34:50,4670.0725
"571",2010-01-12 22:35:00,8419.9075
"572",2010-01-12 22:35:10,-9876.22
"573",2010-01-12 22:35:20,-6044.6275
"574",2010-01-12 22:35:30,8937.6775
"575",2010-01-12 22:35:40,7941.55
"576",2010-01-12 22:35:50,5253.8
"577",2010-01-12 22:36:00,-6203.6225
"578",2010-01-12 22:36:10,2465.805
"579",2010-01-12 22:36:20,5235.0025
"580",2010-01-12 22:36:30,-2246.3175
"581",2010-01-12 22:36:40,8011.415
"582",2010-01-12 22:36:50,-524.0425
"583",2010-01-12 22:37:00,-7686.31
"584",2010-01-12 22:37:10,7836.9725
"585",2010-01-12 22:37:20,3519.65
"586",2010-01-12 22:37:30,10581.925
"587",2010-01-12 22:37:40,-15112.43
"588",2010-01-12 22:37:50,4439.0925
"589",2010-01-12 22:38:00,5572.6375
"590",2010-01-12 22:38:10,-6936.4175
"591",2010-01-12 22:38:20,-6964.975
"592",2010-01-12 22:38:30,8814.89
"593",2010-01-12 22:38:40,6037.675
"594",2010-01-12 22:38:50,-2993.245
"595",2010-01-12 22:39:00,-1668.03
"596",2010-01-12 22:39:10,10951.66
"597",2010-01-12 22:39:20,1467.05
"598",2010-01-12 22:39:30,938.695
"599",2010-01-12 22:39:40,-7067.97
"600",2010-01-12 22:39:50,1873.095
"601",2010-01-12 22:40:00,5036.6025
"602",2010-01-12 22:40:10,-1318.37
"603",2010-01-12 22:40:20,11428.0575
"604",2010-01-12 22:40:30,-4100.1125
"605",2010-01-12 22:40:40,-6702.4625
"606",2010-01-12 22:40:50,6747.29
"607",2010-01-12 22:41:00,-4541.735
"608",2010-01-12 22:41:10,5497.9775
"609",2010-01-12 22:41:20,5169.1825
"610",2010-01-12 22:41:30,-14548.5675
"611",2010-01-12 22:41:40,16829.8375
"612",2010-01-12 22:41:50,1502.0925
"613",2010-01-12 22:42:00,1682.135
"614",2010-01-12 22:42:10,-8338.11
"615",2010-01-12 22:42:20,2364.8375
"616",2010-01-12 22:42:30,6112.4475
"617",2010-01-12 22:42:40,-104.8775
"618",2010-01-12 22:42:50,482.6725
"619",2010-01-12 22:43:00,4269.0725
"620",2010-01-12 22:43:10,-7513.4375
"621",2010-01-12 22:43:20,4361.2675
"622",2010-01-12 22:43:30,8239.4975
"623",2010-01-12 22:43:40,-5977.25
"624",2010-01-12 22:43:50,3767.3175
"625",2010-01-12 22:44:00,3610.4975
"626",2010-01-12 22:44:10,-109.2325
"627",2010-01-12 22:44:20,-7567.825
"628",2010-01-12 22:44:30,5814.2275
"629",2010-01-12 22:44:40,344.0875
"630",2010-01-12 22:44:50,5206.245
"631",2010-01-12 22:45:00,1999.4175
"632",2010-01-12 22:45:10,-8346.91
"633",2010-01-12 22:45:20,7257.3175
"634",2010-01-12 22:45:30,4993.98
"635",2010-01-12 22:45:40,-2360.35
"636",2010-01-12 22:45:50,1311.5575
"637",2010-01-12 22:46:00,-2230.36
"638",2010-01-12 22:46:10,7832.675
"639",2010-01-12 22:46:20,-2655.355
"640",2010-01-12 22:46:30,2866.7
"641",2010-01-12 22:46:40,4416.89
"642",2010-01-12 22:46:50,-5785.0825
"643",2010-01-12 22:47:00,-220.6025
