"","DateTime","IU.BBSR.00.BHZ.M"
"194",2010-01-12 21:32:10,28824.2875
"195",2010-01-12 21:32:20,26175.14
"196",2010-01-12 21:32:30,28543.3075
"197",2010-01-12 21:32:40,25330.47
"198",2010-01-12 21:32:50,27196.71
"199",2010-01-12 21:33:00,26081.2425
"200",2010-01-12 21:33:10,26049.6325
"201",2010-01-12 21:33:20,27109.8
"202",2010-01-12 21:33:30,27723.995
"203",2010-01-12 21:33:40,26607.4175
"204",2010-01-12 21:33:50,30689.3925
"205",2010-01-12 21:34:00,22490.475
"206",2010-01-12 21:34:10,27754.3175
"207",2010-01-12 21:34:20,28975.9725
"208",2010-01-12 21:34:30,23830.04
"209",2010-01-12 21:34:40,25956.2425
"210",2010-01-12 21:34:50,27954.41
"211",2010-01-12 21:35:00,28830.26
"212",2010-01-12 21:35:10,26973.215
"213",2010-01-12 21:35:20,22034.6175
"214",2010-01-12 21:35:30,30998.135
"215",2010-01-12 21:35:40,28239.245
"216",2010-01-12 21:35:50,24436.9025
"217",2010-01-12 21:36:00,29421.965
"218",2010-01-12 21:36:10,23873.02
"219",2010-01-12 21:36:20,25975.6775
"220",2010-01-12 21:36:30,31022.2925
"221",2010-01-12 21:36:40,25494.545
"222",2010-01-12 21:36:50,28123.6475
"223",2010-01-12 21:37:00,23000.685
"224",2010-01-12 21:37:10,26813.23
"225",2010-01-12 21:37:20,28328.0575
"226",2010-01-12 21:37:30,26282.1675
"227",2010-01-12 21:37:40,28010.395
"228",2010-01-12 21:37:50,26224.85
"229",2010-01-12 21:38:00,25570.57
"230",2010-01-12 21:38:10,29304.9825
"231",2010-01-12 21:38:20,25844.645
"232",2010-01-12 21:38:30,27017.26
"233",2010-01-12 21:38:40,25691.645
"234",2010-01-12 21:38:50,29044.1875
"235",2010-01-12 21:39:00,24747.8825
"236",2010-01-12 21:39:10,26245.5875
"237",2010-01-12 21:39:20,29917.52
"238",2010-01-12 21:39:30,22237.5825
"239",2010-01-12 21:39:40,31121.2225
"240",2010-01-12 21:39:50,26485.9775
"241",2010-01-12 21:40:00,27904.585
"242",2010-01-12 21:40:10,21888.7175
"243",2010-01-12 21:40:20,30711.42
"244",2010-01-12 21:40:30,24118.54
"245",2010-01-12 21:40:40,26624.6975
"246",2010-01-12 21:40:50,30055.1875
"247",2010-01-12 21:41:00,25046.34
"248",2010-01-12 21:41:10,29456.68
"249",2010-01-12 21:41:20,23052.675
"250",2010-01-12 21:41:30,27133.4175
"251",2010-01-12 21:41:40,28379.9925
"252",2010-01-12 21:41:50,26291.86
"253",2010-01-12 21:42:00,24822.2625
"254",2010-01-12 21:42:10,29116.37
"255",2010-01-12 21:42:20,28086.6575
"256",2010-01-12 21:42:30,24697.0325
"257",2010-01-12 21:42:40,28010.8375
"258",2010-01-12 21:42:50,25597.615
"259",2010-01-12 21:43:00,27440.8725
"260",2010-01-12 21:43:10,25882.0575
"261",2010-01-12 21:43:20,28779.2825
"262",2010-01-12 21:43:30,25928.89
"263",2010-01-12 21:43:40,29835.9575
"264",2010-01-12 21:43:50,25812.0375
"265",2010-01-12 21:44:00,22398.95
"266",2010-01-12 21:44:10,28987.025
"267",2010-01-12 21:44:20,27895.2075
"268",2010-01-12 21:44:30,28389.4825
"269",2010-01-12 21:44:40,24024.78
"270",2010-01-12 21:44:50,28013.2575
"271",2010-01-12 21:45:00,25337.5375
"272",2010-01-12 21:45:10,29644.9275
"273",2010-01-12 21:45:20,25396.1525
"274",2010-01-12 21:45:30,27467.5025
"275",2010-01-12 21:45:40,21665.9025
"276",2010-01-12 21:45:50,32572.265
"277",2010-01-12 21:46:00,24652.77
"278",2010-01-12 21:46:10,22587.6475
"279",2010-01-12 21:46:20,32496.5175
"280",2010-01-12 21:46:30,25732.5125
"281",2010-01-12 21:46:40,25049.875
"282",2010-01-12 21:46:50,26713.8725
"283",2010-01-12 21:47:00,29011.57
"284",2010-01-12 21:47:10,27052.965
"285",2010-01-12 21:47:20,22806.2975
"286",2010-01-12 21:47:30,29642.44
"287",2010-01-12 21:47:40,27968.1375
"288",2010-01-12 21:47:50,25671.3575
"289",2010-01-12 21:48:00,25671.6
"290",2010-01-12 21:48:10,25514.0375
"291",2010-01-12 21:48:20,28176.7625
"292",2010-01-12 21:48:30,28300.4
"293",2010-01-12 21:48:40,25294.115
"294",2010-01-12 21:48:50,27390.5375
"295",2010-01-12 21:49:00,24193.5075
"296",2010-01-12 21:49:10,29224.515
"297",2010-01-12 21:49:20,27787.2825
"298",2010-01-12 21:49:30,25011.5175
"299",2010-01-12 21:49:40,28353.1275
"300",2010-01-12 21:49:50,25175.7475
"301",2010-01-12 21:50:00,28349.395
"302",2010-01-12 21:50:10,24527.01
"303",2010-01-12 21:50:20,30562.11
"304",2010-01-12 21:50:30,24589.9375
"305",2010-01-12 21:50:40,26122.495
"306",2010-01-12 21:50:50,25059.6375
"307",2010-01-12 21:51:00,30154.9925
"308",2010-01-12 21:51:10,26244.44
"309",2010-01-12 21:51:20,22641.8325
"310",2010-01-12 21:51:30,27931.75
"311",2010-01-12 21:51:40,29889.0675
"312",2010-01-12 21:51:50,23585.13
"313",2010-01-12 21:52:00,28035.7775
"314",2010-01-12 21:52:10,24003.795
"315",2010-01-12 21:52:20,30485.61
"316",2010-01-12 21:52:30,24438.4275
"317",2010-01-12 21:52:40,27582.5375
"318",2010-01-12 21:52:50,28387.6175
"319",2010-01-12 21:53:00,25565.805
"320",2010-01-12 21:53:10,24272.735
"321",2010-01-12 21:53:20,30227.1225
"322",2010-01-12 21:53:30,23912.2525
"323",2010-01-12 21:53:40,30193.3875
"324",2010-01-12 21:53:50,23055.0625
"325",2010-01-12 21:54:00,27131.3225
"326",2010-01-12 21:54:10,26521.765
"327",2010-01-12 21:54:20,30029.1375
"328",2010-01-12 21:54:30,22118.6475
"329",2010-01-12 21:54:40,30029.7875
"330",2010-01-12 21:54:50,26671.235
"331",2010-01-12 21:55:00,25939.56
"332",2010-01-12 21:55:10,25820.5075
"333",2010-01-12 21:55:20,26527.795
"334",2010-01-12 21:55:30,27351.715
"335",2010-01-12 21:55:40,24539.3675
"336",2010-01-12 21:55:50,28120.7075
"337",2010-01-12 21:56:00,26990.5475
"338",2010-01-12 21:56:10,27083.2425
"339",2010-01-12 21:56:20,26781.2875
"340",2010-01-12 21:56:30,24610.175
"341",2010-01-12 21:56:40,-232674.84
"342",2010-01-12 21:56:50,-88268.28
"343",2010-01-12 21:57:00,936689.365
"344",2010-01-12 21:57:10,167098.7325
"345",2010-01-12 21:57:20,-1031769.65
"346",2010-01-12 21:57:30,474993.115
