"","DateTime","CU.SDDR..BHZ.M"
"259",2010-01-12 21:43:00,3104.67
"260",2010-01-12 21:43:10,3165.735
"261",2010-01-12 21:43:20,3171.545
"262",2010-01-12 21:43:30,3027.89
"263",2010-01-12 21:43:40,3252.0175
"264",2010-01-12 21:43:50,3031.58
"265",2010-01-12 21:44:00,3195.0075
"266",2010-01-12 21:44:10,3080.0625
"267",2010-01-12 21:44:20,3114.4475
"268",2010-01-12 21:44:30,3157.985
"269",2010-01-12 21:44:40,3044.0375
"270",2010-01-12 21:44:50,3203.3325
"271",2010-01-12 21:45:00,3105.4675
"272",2010-01-12 21:45:10,3180.7375
"273",2010-01-12 21:45:20,2975.61
"274",2010-01-12 21:45:30,3144.2825
"275",2010-01-12 21:45:40,3124.07
"276",2010-01-12 21:45:50,3146.8825
"277",2010-01-12 21:46:00,3192.3125
"278",2010-01-12 21:46:10,3034.485
"279",2010-01-12 21:46:20,3143.85
"280",2010-01-12 21:46:30,3285.74
"281",2010-01-12 21:46:40,2990.5125
"282",2010-01-12 21:46:50,3147.18
"283",2010-01-12 21:47:00,3155.86
"284",2010-01-12 21:47:10,2891.125
"285",2010-01-12 21:47:20,3144.8475
"286",2010-01-12 21:47:30,3201.2475
"287",2010-01-12 21:47:40,3105.8225
"288",2010-01-12 21:47:50,3086.09
"289",2010-01-12 21:48:00,3168.02
"290",2010-01-12 21:48:10,3118.6975
"291",2010-01-12 21:48:20,3046.0125
"292",2010-01-12 21:48:30,3182.67
"293",2010-01-12 21:48:40,3064.7825
"294",2010-01-12 21:48:50,3125.73
"295",2010-01-12 21:49:00,3163.8875
"296",2010-01-12 21:49:10,3140.775
"297",2010-01-12 21:49:20,3204.1275
"298",2010-01-12 21:49:30,3039.4325
"299",2010-01-12 21:49:40,3033.255
"300",2010-01-12 21:49:50,3133.3675
"301",2010-01-12 21:50:00,3180.69
"302",2010-01-12 21:50:10,3060.83
"303",2010-01-12 21:50:20,3171.065
"304",2010-01-12 21:50:30,3080.6725
"305",2010-01-12 21:50:40,3141.0025
"306",2010-01-12 21:50:50,3058.985
"307",2010-01-12 21:51:00,3099.765
"308",2010-01-12 21:51:10,3092.8825
"309",2010-01-12 21:51:20,3116.4325
"310",2010-01-12 21:51:30,3070.4575
"311",2010-01-12 21:51:40,3078.2
"312",2010-01-12 21:51:50,3156.9075
"313",2010-01-12 21:52:00,3130.24
"314",2010-01-12 21:52:10,3025.7625
"315",2010-01-12 21:52:20,3196.9825
"316",2010-01-12 21:52:30,3075.2625
"317",2010-01-12 21:52:40,3184.05
"318",2010-01-12 21:52:50,3058.6925
"319",2010-01-12 21:53:00,3114.6075
"320",2010-01-12 21:53:10,3173.3025
"321",2010-01-12 21:53:20,3032.605
"322",2010-01-12 21:53:30,-234739.955
"323",2010-01-12 21:53:40,1067729.7975
"324",2010-01-12 21:53:50,-2994049.2725
"325",2010-01-12 21:54:00,2780783.19
"326",2010-01-12 21:54:10,116450.245
"327",2010-01-12 21:54:20,-3503517.755
"328",2010-01-12 21:54:30,-2035667.8375
"329",2010-01-12 21:54:40,1094001.2675
"330",2010-01-12 21:54:50,-1227207.35
"331",2010-01-12 21:55:00,1845721.31
"332",2010-01-12 21:55:10,1772322.7225
"333",2010-01-12 21:55:20,569109.44
"334",2010-01-12 21:55:30,431351.0025
"335",2010-01-12 21:55:40,-434358.435
"336",2010-01-12 21:55:50,857665.12
"337",2010-01-12 21:56:00,-3445.3175
"338",2010-01-12 21:56:10,-252058.4575
