"","DateTime","PR.PCDR..BHZ.M"
"224",2010-01-12 21:03:43,643.9
"225",2010-01-12 21:03:44,860.95
"226",2010-01-12 21:03:45,670.9
"227",2010-01-12 21:03:46,589.9
"228",2010-01-12 21:03:47,-5.85
"229",2010-01-12 21:03:48,1009.45
"230",2010-01-12 21:03:49,1044.7
"231",2010-01-12 21:03:50,100.25
"232",2010-01-12 21:03:51,623.65
"233",2010-01-12 21:03:52,834.15
"234",2010-01-12 21:03:53,625.25
"235",2010-01-12 21:03:54,694
"236",2010-01-12 21:03:55,734.45
"237",2010-01-12 21:03:56,106.2
"238",2010-01-12 21:03:57,724.15
"239",2010-01-12 21:03:58,901.4
"240",2010-01-12 21:03:59,619.65
"241",2010-01-12 21:04:00,388.75
"242",2010-01-12 21:04:01,507.45
"243",2010-01-12 21:04:02,708.9
"244",2010-01-12 21:04:03,665.85
"245",2010-01-12 21:04:04,320.25
"246",2010-01-12 21:04:05,336.95
"247",2010-01-12 21:04:06,748.2
"248",2010-01-12 21:04:07,1154.05
"249",2010-01-12 21:04:08,157.45
"250",2010-01-12 21:04:09,131.05
"251",2010-01-12 21:04:10,869.55
"252",2010-01-12 21:04:11,900.3
"253",2010-01-12 21:04:12,1015.85
"254",2010-01-12 21:04:13,-127.9
"255",2010-01-12 21:04:14,963.55
"256",2010-01-12 21:04:15,650.7
"257",2010-01-12 21:04:16,795.8
"258",2010-01-12 21:04:17,560.25
"259",2010-01-12 21:04:18,503.5
"260",2010-01-12 21:04:19,411.2
"261",2010-01-12 21:04:20,1019.35
"262",2010-01-12 21:04:21,630
"263",2010-01-12 21:04:22,488.7
"264",2010-01-12 21:04:23,547.9
"265",2010-01-12 21:04:24,593.2
"266",2010-01-12 21:04:25,855.5
"267",2010-01-12 21:04:26,436.05
"268",2010-01-12 21:04:27,554.6
"269",2010-01-12 21:04:28,798.05
"270",2010-01-12 21:04:29,789.3
"271",2010-01-12 21:04:30,348.25
"272",2010-01-12 21:04:31,666.4
"273",2010-01-12 21:04:32,813.7
"274",2010-01-12 21:04:33,302.05
"275",2010-01-12 21:04:34,764.85
"276",2010-01-12 21:04:35,950.6
"277",2010-01-12 21:04:36,669.15
"278",2010-01-12 21:04:37,379.65
"279",2010-01-12 21:04:38,694.6
"280",2010-01-12 21:04:39,556.95
"281",2010-01-12 21:04:40,970.95
"282",2010-01-12 21:04:41,85.35
"283",2010-01-12 21:04:42,946.5
"284",2010-01-12 21:04:43,388.6
"285",2010-01-12 21:04:44,668.55
"286",2010-01-12 21:04:45,555.6
"287",2010-01-12 21:04:46,500.6
"288",2010-01-12 21:04:47,358.25
"289",2010-01-12 21:04:48,656.5
"290",2010-01-12 21:04:49,684.2
"291",2010-01-12 21:04:50,218.85
