"","DateTime","PR.CRPR..BHZ.M"
"335",2010-01-12 21:05:34,2648.4
"336",2010-01-12 21:05:35,2719.75
"337",2010-01-12 21:05:36,3246.95
"338",2010-01-12 21:05:37,2779.9
"339",2010-01-12 21:05:38,2620.5
"340",2010-01-12 21:05:39,2867.85
"341",2010-01-12 21:05:40,3072.85
"342",2010-01-12 21:05:41,2843.7
"343",2010-01-12 21:05:42,2682.35
"344",2010-01-12 21:05:43,2674.8
"345",2010-01-12 21:05:44,3031.85
"346",2010-01-12 21:05:45,2958.1
"347",2010-01-12 21:05:46,2735.05
"348",2010-01-12 21:05:47,3109.75
"349",2010-01-12 21:05:48,2964.3
"350",2010-01-12 21:05:49,2745
"351",2010-01-12 21:05:50,2876.3
"352",2010-01-12 21:05:51,2855.75
"353",2010-01-12 21:05:52,2892.9
"354",2010-01-12 21:05:53,2934.75
"355",2010-01-12 21:05:54,2801.45
"356",2010-01-12 21:05:55,2738.9
"357",2010-01-12 21:05:56,2660.7
"358",2010-01-12 21:05:57,3089.1
"359",2010-01-12 21:05:58,2934.6
"360",2010-01-12 21:05:59,2577.3
"361",2010-01-12 21:06:00,2877.8
"362",2010-01-12 21:06:01,2911.25
"363",2010-01-12 21:06:02,3068.95
"364",2010-01-12 21:06:03,2866.95
"365",2010-01-12 21:06:04,2924.25
"366",2010-01-12 21:06:05,2797.45
"367",2010-01-12 21:06:06,3136.05
"368",2010-01-12 21:06:07,2978.75
"369",2010-01-12 21:06:08,2742.75
"370",2010-01-12 21:06:09,2818.35
"371",2010-01-12 21:06:10,3074.35
"372",2010-01-12 21:06:11,3065.6
"373",2010-01-12 21:06:12,2766.6
"374",2010-01-12 21:06:13,2597.45
"375",2010-01-12 21:06:14,3143.4
"376",2010-01-12 21:06:15,3008.9
"377",2010-01-12 21:06:16,2775.05
"378",2010-01-12 21:06:17,2667.25
"379",2010-01-12 21:06:18,2849.25
"380",2010-01-12 21:06:19,2926.65
"381",2010-01-12 21:06:20,2949.9
"382",2010-01-12 21:06:21,2880.4
"383",2010-01-12 21:06:22,2617.55
"384",2010-01-12 21:06:23,3080.4
"385",2010-01-12 21:06:24,3090.35
"386",2010-01-12 21:06:25,2738.4
"387",2010-01-12 21:06:26,2755.9
"388",2010-01-12 21:06:27,3022.9
"389",2010-01-12 21:06:28,3145.65
"390",2010-01-12 21:06:29,2772.9
"391",2010-01-12 21:06:30,2777.65
"392",2010-01-12 21:06:31,2985.75
"393",2010-01-12 21:06:32,2845.95
"394",2010-01-12 21:06:33,2917.85
"395",2010-01-12 21:06:34,2970.65
"396",2010-01-12 21:06:35,2572.9
"397",2010-01-12 21:06:36,3126
"398",2010-01-12 21:06:37,2934.5
"399",2010-01-12 21:06:38,2917.5
"400",2010-01-12 21:06:39,2857.75
"401",2010-01-12 21:06:40,2880.65
"402",2010-01-12 21:06:41,2838.9
"403",2010-01-12 21:06:42,2873.4
"404",2010-01-12 21:06:43,2874.45
"405",2010-01-12 21:06:44,2896.3
"406",2010-01-12 21:06:45,2748.95
"407",2010-01-12 21:06:46,2842.6
"408",2010-01-12 21:06:47,2824.8
"409",2010-01-12 21:06:48,2855.85
"410",2010-01-12 21:06:49,2782.45
"411",2010-01-12 21:06:50,2768.15
"412",2010-01-12 21:06:51,3051.5
"413",2010-01-12 21:06:52,2934.65
"414",2010-01-12 21:06:53,2352.45
