"","DateTime","CU.BBGH..BHZ.M"
"332",2010-01-12 21:05:31,81.925
"333",2010-01-12 21:05:32,-3763.975
"334",2010-01-12 21:05:33,3557.275
"335",2010-01-12 21:05:34,563.95
"336",2010-01-12 21:05:35,-2814.475
"337",2010-01-12 21:05:36,818.5
"338",2010-01-12 21:05:37,-2678.7
"339",2010-01-12 21:05:38,1948.425
"340",2010-01-12 21:05:39,2810.925
"341",2010-01-12 21:05:40,-5108.3
"342",2010-01-12 21:05:41,-843.175
"343",2010-01-12 21:05:42,1200.15
"344",2010-01-12 21:05:43,339.35
"345",2010-01-12 21:05:44,5360.95
"346",2010-01-12 21:05:45,-10656.975
"347",2010-01-12 21:05:46,816.95
"348",2010-01-12 21:05:47,4575.3
"349",2010-01-12 21:05:48,-1366.925
"350",2010-01-12 21:05:49,1896.35
"351",2010-01-12 21:05:50,-6932.3
"352",2010-01-12 21:05:51,1998.925
"353",2010-01-12 21:05:52,550.075
"354",2010-01-12 21:05:53,4485.2
"355",2010-01-12 21:05:54,-6187.225
"356",2010-01-12 21:05:55,-3590.8
"357",2010-01-12 21:05:56,6456.375
"358",2010-01-12 21:05:57,-284.725
"359",2010-01-12 21:05:58,-3670.2
"360",2010-01-12 21:05:59,1057.45
"361",2010-01-12 21:06:00,-577.425
"362",2010-01-12 21:06:01,294.2
"363",2010-01-12 21:06:02,-2310.475
"364",2010-01-12 21:06:03,3327.1
"365",2010-01-12 21:06:04,-2914.175
"366",2010-01-12 21:06:05,85.15
"367",2010-01-12 21:06:06,-2803.775
"368",2010-01-12 21:06:07,2285.55
"369",2010-01-12 21:06:08,2858.075
"370",2010-01-12 21:06:09,-5888.825
"371",2010-01-12 21:06:10,706.25
"372",2010-01-12 21:06:11,2510.25
"373",2010-01-12 21:06:12,-1954.75
"374",2010-01-12 21:06:13,1683.475
"375",2010-01-12 21:06:14,-6208.175
"376",2010-01-12 21:06:15,6299.375
"377",2010-01-12 21:06:16,-4016.225
"378",2010-01-12 21:06:17,764.4
"379",2010-01-12 21:06:18,55.225
"380",2010-01-12 21:06:19,2121.975
"381",2010-01-12 21:06:20,-7572.625
"382",2010-01-12 21:06:21,3598.55
"383",2010-01-12 21:06:22,2093.425
"384",2010-01-12 21:06:23,-121.9
"385",2010-01-12 21:06:24,-5178.575
"386",2010-01-12 21:06:25,347.525
"387",2010-01-12 21:06:26,5922
"388",2010-01-12 21:06:27,-4344.025
"389",2010-01-12 21:06:28,-3048.1
"390",2010-01-12 21:06:29,2097.3
"391",2010-01-12 21:06:30,560.025
"392",2010-01-12 21:06:31,-2061.4
"393",2010-01-12 21:06:32,3456.85
"394",2010-01-12 21:06:33,-1775.5
"395",2010-01-12 21:06:34,-4889.5
"396",2010-01-12 21:06:35,1423.05
"397",2010-01-12 21:06:36,4328.55
"398",2010-01-12 21:06:37,855.575
"399",2010-01-12 21:06:38,-7512.875
"400",2010-01-12 21:06:39,-117.45
"401",2010-01-12 21:06:40,6836.5
"402",2010-01-12 21:06:41,-3623.2
"403",2010-01-12 21:06:42,-1814.725
"404",2010-01-12 21:06:43,-2772.75
"405",2010-01-12 21:06:44,2397.975
"406",2010-01-12 21:06:45,2541.6
"407",2010-01-12 21:06:46,530.85
"408",2010-01-12 21:06:47,-5770.8
"409",2010-01-12 21:06:48,-1067.3
"410",2010-01-12 21:06:49,3858.525
"411",2010-01-12 21:06:50,2068.825
"412",2010-01-12 21:06:51,-6107.3
"413",2010-01-12 21:06:52,-94.025
"414",2010-01-12 21:06:53,1818.2
"415",2010-01-12 21:06:54,1576.925
"416",2010-01-12 21:06:55,-2448.175
"417",2010-01-12 21:06:56,-1818.775
"418",2010-01-12 21:06:57,716.7
"419",2010-01-12 21:06:58,3498.15
"420",2010-01-12 21:06:59,-7189.05
"421",2010-01-12 21:07:00,5421.025
"422",2010-01-12 21:07:01,-2270.325
"423",2010-01-12 21:07:02,-1119.5
"424",2010-01-12 21:07:03,-673.025
"425",2010-01-12 21:07:04,2229.675
"426",2010-01-12 21:07:05,-4961.425
"427",2010-01-12 21:07:06,3799.9
"428",2010-01-12 21:07:07,3863.175
"429",2010-01-12 21:07:08,-8974.275
"430",2010-01-12 21:07:09,961.325
"431",2010-01-12 21:07:10,3657.75
"432",2010-01-12 21:07:11,-1984.575
"433",2010-01-12 21:07:12,1838.975
"434",2010-01-12 21:07:13,-4831.3
"435",2010-01-12 21:07:14,28.825
"436",2010-01-12 21:07:15,4257.875
"437",2010-01-12 21:07:16,-4328.025
"438",2010-01-12 21:07:17,-501.325
"439",2010-01-12 21:07:18,1161.975
"440",2010-01-12 21:07:19,3465.55
"441",2010-01-12 21:07:20,-5675.875
"442",2010-01-12 21:07:21,201.575
"443",2010-01-12 21:07:22,-1898.525
"444",2010-01-12 21:07:23,4834.375
"445",2010-01-12 21:07:24,1391.95
"446",2010-01-12 21:07:25,-7823.075
"447",2010-01-12 21:07:26,4534.3
"448",2010-01-12 21:07:27,-3915
"449",2010-01-12 21:07:28,1727.95
"450",2010-01-12 21:07:29,4240.55
"451",2010-01-12 21:07:30,-8998.225
"452",2010-01-12 21:07:31,2533.925
"453",2010-01-12 21:07:32,1624.875
"454",2010-01-12 21:07:33,3522.975
"455",2010-01-12 21:07:34,-4622.625
"456",2010-01-12 21:07:35,-1359.025
"457",2010-01-12 21:07:36,-1967.425
"458",2010-01-12 21:07:37,5693.15
"459",2010-01-12 21:07:38,-1480.775
"460",2010-01-12 21:07:39,-2658.825
"461",2010-01-12 21:07:40,-5382.775
"462",2010-01-12 21:07:41,8586.575
"463",2010-01-12 21:07:42,-4086.3
"464",2010-01-12 21:07:43,2245.325
"465",2010-01-12 21:07:44,-2639.2
"466",2010-01-12 21:07:45,149.625
"467",2010-01-12 21:07:46,-3146.5
"468",2010-01-12 21:07:47,5136.45
"469",2010-01-12 21:07:48,-3021.85
"470",2010-01-12 21:07:49,-4147.075
"471",2010-01-12 21:07:50,3430.75
"472",2010-01-12 21:07:51,2849.9
"473",2010-01-12 21:07:52,-689.925
"474",2010-01-12 21:07:53,-10476.05
"475",2010-01-12 21:07:54,10130.625
"476",2010-01-12 21:07:55,-2069.525
"477",2010-01-12 21:07:56,-1613.1
"478",2010-01-12 21:07:57,-1073.775
"479",2010-01-12 21:07:58,1100.775
"480",2010-01-12 21:07:59,-970.4
"481",2010-01-12 21:08:00,172.425
"482",2010-01-12 21:08:01,-4482.175
"483",2010-01-12 21:08:02,5872.7
"484",2010-01-12 21:08:03,-461.2
"485",2010-01-12 21:08:04,-4544.9
"486",2010-01-12 21:08:05,1157.875
"487",2010-01-12 21:08:06,-1289.775
"488",2010-01-12 21:08:07,2280.05
"489",2010-01-12 21:08:08,-1510.425
"490",2010-01-12 21:08:09,-432.925
"491",2010-01-12 21:08:10,-175.9
"492",2010-01-12 21:08:11,1033.575
"493",2010-01-12 21:08:12,-4362.625
"494",2010-01-12 21:08:13,5290.875
"495",2010-01-12 21:08:14,-2743.575
"496",2010-01-12 21:08:15,-1231.75
"497",2010-01-12 21:08:16,-3181.7
"498",2010-01-12 21:08:17,6215.35
"499",2010-01-12 21:08:18,-108.35
"500",2010-01-12 21:08:19,-6567.8
"501",2010-01-12 21:08:20,278.625
"502",2010-01-12 21:08:21,2298.7
"503",2010-01-12 21:08:22,495.8
"504",2010-01-12 21:08:23,965.45
"505",2010-01-12 21:08:24,-3156.025
"506",2010-01-12 21:08:25,-1187.35
"507",2010-01-12 21:08:26,101.925
"508",2010-01-12 21:08:27,3742.55
"509",2010-01-12 21:08:28,-5548.85
"510",2010-01-12 21:08:29,-1934.2
"511",2010-01-12 21:08:30,7748.35
"512",2010-01-12 21:08:31,-3576.7
"513",2010-01-12 21:08:32,-1332.325
"514",2010-01-12 21:08:33,-2306.825
"515",2010-01-12 21:08:34,3639.7
"516",2010-01-12 21:08:35,-4849.15
"517",2010-01-12 21:08:36,5803.525
"518",2010-01-12 21:08:37,-7753.75
"519",2010-01-12 21:08:38,4366.025
"520",2010-01-12 21:08:39,1552.575
"521",2010-01-12 21:08:40,-2793
"522",2010-01-12 21:08:41,-3480.225
"523",2010-01-12 21:08:42,1483.375
"524",2010-01-12 21:08:43,5487.1
"525",2010-01-12 21:08:44,-5051.25
"526",2010-01-12 21:08:45,-3001.175
"527",2010-01-12 21:08:46,3543.275
"528",2010-01-12 21:08:47,-799.85
"529",2010-01-12 21:08:48,-1962.525
"530",2010-01-12 21:08:49,1282.95
"531",2010-01-12 21:08:50,271.2
"532",2010-01-12 21:08:51,-4810.95
"533",2010-01-12 21:08:52,5847.675
"534",2010-01-12 21:08:53,-2505.1
"535",2010-01-12 21:08:54,-2273.65
"536",2010-01-12 21:08:55,46.1
"537",2010-01-12 21:08:56,-1630.85
"538",2010-01-12 21:08:57,8269.225
"539",2010-01-12 21:08:58,-7743.175
"540",2010-01-12 21:08:59,615.75
"541",2010-01-12 21:09:00,-2403.15
"542",2010-01-12 21:09:01,7072.675
"543",2010-01-12 21:09:02,-7950.3
"544",2010-01-12 21:09:03,2837.325
"545",2010-01-12 21:09:04,-1623.7
"546",2010-01-12 21:09:05,2643.725
"547",2010-01-12 21:09:06,-2527.15
"548",2010-01-12 21:09:07,-424.75
"549",2010-01-12 21:09:08,-997.075
"550",2010-01-12 21:09:09,849.975
"551",2010-01-12 21:09:10,-1636.95
"552",2010-01-12 21:09:11,3510.175
"553",2010-01-12 21:09:12,-3445.375
"554",2010-01-12 21:09:13,-1819.275
"555",2010-01-12 21:09:14,5285.875
"556",2010-01-12 21:09:15,-4297.25
"557",2010-01-12 21:09:16,-2531.05
"558",2010-01-12 21:09:17,5047.675
"559",2010-01-12 21:09:18,-5433.575
"560",2010-01-12 21:09:19,5565.825
"561",2010-01-12 21:09:20,-5228.8
"562",2010-01-12 21:09:21,2309.95
"563",2010-01-12 21:09:22,-5482.6
"564",2010-01-12 21:09:23,5565.8
"565",2010-01-12 21:09:24,-224.175
"566",2010-01-12 21:09:25,-922.075
"567",2010-01-12 21:09:26,-4580.025
"568",2010-01-12 21:09:27,700
"569",2010-01-12 21:09:28,6428.275
"570",2010-01-12 21:09:29,-6241.85
"571",2010-01-12 21:09:30,-1292.05
"572",2010-01-12 21:09:31,3193.55
"573",2010-01-12 21:09:32,-2829.325
"574",2010-01-12 21:09:33,3333.55
"575",2010-01-12 21:09:34,-71.75
"576",2010-01-12 21:09:35,-9113.05
"577",2010-01-12 21:09:36,4418.45
"578",2010-01-12 21:09:37,4207.525
"579",2010-01-12 21:09:38,-357
"580",2010-01-12 21:09:39,-6186.25
"581",2010-01-12 21:09:40,518.05
"582",2010-01-12 21:09:41,946.95
"583",2010-01-12 21:09:42,5040.975
"584",2010-01-12 21:09:43,-5929.975
"585",2010-01-12 21:09:44,-2160.125
"586",2010-01-12 21:09:45,-998.475
"587",2010-01-12 21:09:46,10273.175
"588",2010-01-12 21:09:47,-6931.575
"589",2010-01-12 21:09:48,-2454.975
"590",2010-01-12 21:09:49,-3595.65
"591",2010-01-12 21:09:50,5729
"592",2010-01-12 21:09:51,7059.15
"593",2010-01-12 21:09:52,-11514.05
"594",2010-01-12 21:09:53,-2167.675
"595",2010-01-12 21:09:54,6272.4
"596",2010-01-12 21:09:55,2162.9
"597",2010-01-12 21:09:56,-5528.25
"598",2010-01-12 21:09:57,-2132.1
"599",2010-01-12 21:09:58,1513.425
"600",2010-01-12 21:09:59,-146.4
"601",2010-01-12 21:10:00,2048.525
"602",2010-01-12 21:10:01,1750.525
"603",2010-01-12 21:10:02,-8572
