"","DateTime","CU.GTBY..BHZ.M"
"255",2010-01-12 21:04:14,616.4
"256",2010-01-12 21:04:15,-115.075
"257",2010-01-12 21:04:16,-81.325
"258",2010-01-12 21:04:17,-538.4
"259",2010-01-12 21:04:18,-1085.7
"260",2010-01-12 21:04:19,-321.3
"261",2010-01-12 21:04:20,-150.875
"262",2010-01-12 21:04:21,-1523.1
"263",2010-01-12 21:04:22,-868.95
"264",2010-01-12 21:04:23,870.175
"265",2010-01-12 21:04:24,-1252.025
"266",2010-01-12 21:04:25,1479.25
"267",2010-01-12 21:04:26,-2169.7
"268",2010-01-12 21:04:27,-1840.875
"269",2010-01-12 21:04:28,931.1
"270",2010-01-12 21:04:29,-339.95
"271",2010-01-12 21:04:30,-698.875
"272",2010-01-12 21:04:31,-172.65
"273",2010-01-12 21:04:32,-405.225
"274",2010-01-12 21:04:33,-1359.6
"275",2010-01-12 21:04:34,1408.075
"276",2010-01-12 21:04:35,-1695.425
"277",2010-01-12 21:04:36,-1922.875
"278",2010-01-12 21:04:37,665.45
"279",2010-01-12 21:04:38,227.4
"280",2010-01-12 21:04:39,-944.675
"281",2010-01-12 21:04:40,-1417.675
"282",2010-01-12 21:04:41,-490.975
"283",2010-01-12 21:04:42,1034.4
"284",2010-01-12 21:04:43,-2423.2
"285",2010-01-12 21:04:44,-615.675
"286",2010-01-12 21:04:45,2290.15
"287",2010-01-12 21:04:46,-959.25
"288",2010-01-12 21:04:47,-2780.2
"289",2010-01-12 21:04:48,-473.25
"290",2010-01-12 21:04:49,1566.25
"291",2010-01-12 21:04:50,-1667.025
"292",2010-01-12 21:04:51,52.675
"293",2010-01-12 21:04:52,404.9
"294",2010-01-12 21:04:53,-3015
"295",2010-01-12 21:04:54,13.875
"296",2010-01-12 21:04:55,2
"297",2010-01-12 21:04:56,-53.7
"298",2010-01-12 21:04:57,-362.625
"299",2010-01-12 21:04:58,-1644.7
"300",2010-01-12 21:04:59,-652.6
"301",2010-01-12 21:05:00,1668
"302",2010-01-12 21:05:01,-726.7
"303",2010-01-12 21:05:02,-2457.075
"304",2010-01-12 21:05:03,-1368.7
"305",2010-01-12 21:05:04,1108
"306",2010-01-12 21:05:05,1959.925
"307",2010-01-12 21:05:06,-2190.8
"308",2010-01-12 21:05:07,-3105.875
"309",2010-01-12 21:05:08,1684.525
"310",2010-01-12 21:05:09,1396.55
"311",2010-01-12 21:05:10,-2868.675
"312",2010-01-12 21:05:11,-1673.95
"313",2010-01-12 21:05:12,576.525
"314",2010-01-12 21:05:13,-23.625
"315",2010-01-12 21:05:14,-308.75
"316",2010-01-12 21:05:15,72.85
"317",2010-01-12 21:05:16,-1149.475
"318",2010-01-12 21:05:17,-2038.2
"319",2010-01-12 21:05:18,241.925
"320",2010-01-12 21:05:19,899.525
"321",2010-01-12 21:05:20,-1228.9
"322",2010-01-12 21:05:21,359.575
"323",2010-01-12 21:05:22,-2300.35
"324",2010-01-12 21:05:23,-167
"325",2010-01-12 21:05:24,732.375
"326",2010-01-12 21:05:25,-587.6
"327",2010-01-12 21:05:26,-939.95
"328",2010-01-12 21:05:27,-1576.825
"329",2010-01-12 21:05:28,849.525
"330",2010-01-12 21:05:29,-220.55
"331",2010-01-12 21:05:30,-906.1
"332",2010-01-12 21:05:31,-2531.725
"333",2010-01-12 21:05:32,920.75
"334",2010-01-12 21:05:33,1187.225
"335",2010-01-12 21:05:34,-1511.8
"336",2010-01-12 21:05:35,-1651
"337",2010-01-12 21:05:36,551.05
"338",2010-01-12 21:05:37,-563.925
"339",2010-01-12 21:05:38,-130.95
"340",2010-01-12 21:05:39,-1454.525
"341",2010-01-12 21:05:40,16.6
"342",2010-01-12 21:05:41,753.2
"343",2010-01-12 21:05:42,-2532.3
"344",2010-01-12 21:05:43,-499.2
"345",2010-01-12 21:05:44,343.2
"346",2010-01-12 21:05:45,-262.075
"347",2010-01-12 21:05:46,-573.775
"348",2010-01-12 21:05:47,-1669.825
"349",2010-01-12 21:05:48,-162.275
"350",2010-01-12 21:05:49,1230.7
"351",2010-01-12 21:05:50,-1941.3
"352",2010-01-12 21:05:51,281.525
"353",2010-01-12 21:05:52,-1737.775
"354",2010-01-12 21:05:53,83.425
"355",2010-01-12 21:05:54,51.075
"356",2010-01-12 21:05:55,-602.075
"357",2010-01-12 21:05:56,-411.725
"358",2010-01-12 21:05:57,-848.225
