"","DateTime","CU.ANWB..BHZ.M"
"408",2010-01-12 22:07:50,-46346.495
"409",2010-01-12 22:08:00,35505.97
"410",2010-01-12 22:08:10,85618.6675
"411",2010-01-12 22:08:20,-20089.5275
"412",2010-01-12 22:08:30,-50130.2575
"413",2010-01-12 22:08:40,47355.1775
"414",2010-01-12 22:08:50,-1564.6725
"415",2010-01-12 22:09:00,35891.125
"416",2010-01-12 22:09:10,-42079.1425
"417",2010-01-12 22:09:20,-83779.605
"418",2010-01-12 22:09:30,79430.1925
"419",2010-01-12 22:09:40,18430.7625
"420",2010-01-12 22:09:50,1722.9525
"421",2010-01-12 22:10:00,-23615.4575
"422",2010-01-12 22:10:10,-73959.95
"423",2010-01-12 22:10:20,51052.1675
"424",2010-01-12 22:10:30,36566.3025
"425",2010-01-12 22:10:40,9944.7325
"426",2010-01-12 22:10:50,-18545.5225
"427",2010-01-12 22:11:00,-19076.185
"428",2010-01-12 22:11:10,-50497.545
"429",2010-01-12 22:11:20,83964.6875
"430",2010-01-12 22:11:30,-37684.8275
"431",2010-01-12 22:11:40,20086.345
"432",2010-01-12 22:11:50,60065.37
"433",2010-01-12 22:12:00,-69682.0775
"434",2010-01-12 22:12:10,-71510.4075
"435",2010-01-12 22:12:20,94229.915
"436",2010-01-12 22:12:30,268.6175
"437",2010-01-12 22:12:40,56729.4325
"438",2010-01-12 22:12:50,-65666.995
"439",2010-01-12 22:13:00,-16515.3425
"440",2010-01-12 22:13:10,69782.1125
"441",2010-01-12 22:13:20,-41943.9525
"442",2010-01-12 22:13:30,-21884.145
"443",2010-01-12 22:13:40,13930.5025
"444",2010-01-12 22:13:50,30042.8725
"445",2010-01-12 22:14:00,-55748.51
"446",2010-01-12 22:14:10,-15841.9
"447",2010-01-12 22:14:20,42557.905
"448",2010-01-12 22:14:30,15752.285
"449",2010-01-12 22:14:40,-21727.4475
"450",2010-01-12 22:14:50,6829.0775
"451",2010-01-12 22:15:00,32000.32
"452",2010-01-12 22:15:10,5273.87
"453",2010-01-12 22:15:20,-23625.6975
"454",2010-01-12 22:15:30,-39414.04
"455",2010-01-12 22:15:40,44028.805
"456",2010-01-12 22:15:50,-33619.1425
"457",2010-01-12 22:16:00,35535.465
"458",2010-01-12 22:16:10,15006.875
"459",2010-01-12 22:16:20,-52156.0675
"460",2010-01-12 22:16:30,64337.28
"461",2010-01-12 22:16:40,-28032.995
"462",2010-01-12 22:16:50,-11484.985
"463",2010-01-12 22:17:00,12237.4275
"464",2010-01-12 22:17:10,-13033.955
"465",2010-01-12 22:17:20,15142.495
"466",2010-01-12 22:17:30,18691.515
"467",2010-01-12 22:17:40,-2486.8
"468",2010-01-12 22:17:50,-39866.0925
"469",2010-01-12 22:18:00,32999.2025
"470",2010-01-12 22:18:10,-12140.29
"471",2010-01-12 22:18:20,61516.32
"472",2010-01-12 22:18:30,-99480.2
"473",2010-01-12 22:18:40,71478.235
"474",2010-01-12 22:18:50,-4500.6375
"475",2010-01-12 22:19:00,937.78
"476",2010-01-12 22:19:10,-56132.135
"477",2010-01-12 22:19:20,30207.66
"478",2010-01-12 22:19:30,28314.6375
"479",2010-01-12 22:19:40,-4035.3775
"480",2010-01-12 22:19:50,-126.935
"481",2010-01-12 22:20:00,-8023.7075
"482",2010-01-12 22:20:10,3591.16
"483",2010-01-12 22:20:20,-2418.785
"484",2010-01-12 22:20:30,-2783.1125
"485",2010-01-12 22:20:40,18794.975
"486",2010-01-12 22:20:50,-3092.5625
"487",2010-01-12 22:21:00,-12939.1125
"488",2010-01-12 22:21:10,3458.8825
"489",2010-01-12 22:21:20,44664.4925
"490",2010-01-12 22:21:30,-44618.795
"491",2010-01-12 22:21:40,7295.925
"492",2010-01-12 22:21:50,9641.1625
"493",2010-01-12 22:22:00,-2898.1825
"494",2010-01-12 22:22:10,14601.435
"495",2010-01-12 22:22:20,-507.01
"496",2010-01-12 22:22:30,-12499.5675
"497",2010-01-12 22:22:40,23910.5825
"498",2010-01-12 22:22:50,-48204.4375
"499",2010-01-12 22:23:00,-7644.455
"500",2010-01-12 22:23:10,43104.7525
"501",2010-01-12 22:23:20,-13752.12
"502",2010-01-12 22:23:30,23941.9425
"503",2010-01-12 22:23:40,-30560.015
"504",2010-01-12 22:23:50,8184.845
"505",2010-01-12 22:24:00,-16342.2625
"506",2010-01-12 22:24:10,28714.6875
"507",2010-01-12 22:24:20,5382.5075
"508",2010-01-12 22:24:30,-32886.9375
"509",2010-01-12 22:24:40,44391.725
"510",2010-01-12 22:24:50,-20303.0225
"511",2010-01-12 22:25:00,290.5675
"512",2010-01-12 22:25:10,2319.825
"513",2010-01-12 22:25:20,-2168.1075
"514",2010-01-12 22:25:30,11099.035
"515",2010-01-12 22:25:40,13633.0175
"516",2010-01-12 22:25:50,-21298.525
"517",2010-01-12 22:26:00,23339.9075
"518",2010-01-12 22:26:10,-14900.8275
"519",2010-01-12 22:26:20,-1777.2425
"520",2010-01-12 22:26:30,17563.6575
"521",2010-01-12 22:26:40,5526.635
"522",2010-01-12 22:26:50,-9532.0775
"523",2010-01-12 22:27:00,-2490.0125
"524",2010-01-12 22:27:10,-1070.625
"525",2010-01-12 22:27:20,-2413.575
"526",2010-01-12 22:27:30,7596.535
"527",2010-01-12 22:27:40,6912.0625
"528",2010-01-12 22:27:50,129.0825
"529",2010-01-12 22:28:00,-7983.685
"530",2010-01-12 22:28:10,11015.7575
"531",2010-01-12 22:28:20,-14510.2125
"532",2010-01-12 22:28:30,15981.59
"533",2010-01-12 22:28:40,-4047.5425
"534",2010-01-12 22:28:50,-10025.1225
"535",2010-01-12 22:29:00,9977.9125
"536",2010-01-12 22:29:10,-18507.865
"537",2010-01-12 22:29:20,7960.86
"538",2010-01-12 22:29:30,14063.985
"539",2010-01-12 22:29:40,531.315
"540",2010-01-12 22:29:50,2080.3875
"541",2010-01-12 22:30:00,-2222.8375
"542",2010-01-12 22:30:10,8745.32
"543",2010-01-12 22:30:20,-15698.5325
"544",2010-01-12 22:30:30,13036.5
"545",2010-01-12 22:30:40,2320.1025
"546",2010-01-12 22:30:50,-7956.1875
"547",2010-01-12 22:31:00,1845.8675
"548",2010-01-12 22:31:10,4445.9275
"549",2010-01-12 22:31:20,-8781.6025
"550",2010-01-12 22:31:30,4940.4025
"551",2010-01-12 22:31:40,8547.49
"552",2010-01-12 22:31:50,4055.15
"553",2010-01-12 22:32:00,-10221.3825
"554",2010-01-12 22:32:10,4798.6425
"555",2010-01-12 22:32:20,-3262.935
"556",2010-01-12 22:32:30,13540.8075
"557",2010-01-12 22:32:40,-14020.3075
"558",2010-01-12 22:32:50,1367.1775
"559",2010-01-12 22:33:00,5386.0375
"560",2010-01-12 22:33:10,20068.3225
"561",2010-01-12 22:33:20,-8520.09
"562",2010-01-12 22:33:30,4322.5975
"563",2010-01-12 22:33:40,-10384.905
"564",2010-01-12 22:33:50,-966.3975
"565",2010-01-12 22:34:00,15953.06
"566",2010-01-12 22:34:10,-3510.675
"567",2010-01-12 22:34:20,721.6075
"568",2010-01-12 22:34:30,6393.835
"569",2010-01-12 22:34:40,-20746.4525
"570",2010-01-12 22:34:50,28468.5575
"571",2010-01-12 22:35:00,-3509.3425
