"","DateTime","IU.DWPF.00.BHZ.M"
"591",2010-01-12 21:09:50,116520.8
"592",2010-01-12 21:09:51,116521.2
"593",2010-01-12 21:09:52,116521.6
"594",2010-01-12 21:09:53,116520.55
"595",2010-01-12 21:09:54,116521.2
"596",2010-01-12 21:09:55,116522.65
"597",2010-01-12 21:09:56,116521.5
"598",2010-01-12 21:09:57,116521.35
"599",2010-01-12 21:09:58,116521.1
"600",2010-01-12 21:09:59,116520.55
"601",2010-01-12 21:10:00,116521.9
"602",2010-01-12 21:10:01,116521.7
"603",2010-01-12 21:10:02,116522.45
"604",2010-01-12 21:10:03,116521.05
"605",2010-01-12 21:10:04,116521
"606",2010-01-12 21:10:05,116520.85
"607",2010-01-12 21:10:06,116521.25
"608",2010-01-12 21:10:07,116521.55
"609",2010-01-12 21:10:08,116523.1
"610",2010-01-12 21:10:09,116521.75
"611",2010-01-12 21:10:10,116521.25
"612",2010-01-12 21:10:11,116521.9
"613",2010-01-12 21:10:12,116523.1
"614",2010-01-12 21:10:13,116521.65
"615",2010-01-12 21:10:14,116522.2
"616",2010-01-12 21:10:15,116521.3
"617",2010-01-12 21:10:16,116520.9
"618",2010-01-12 21:10:17,116521.6
"619",2010-01-12 21:10:18,116520.8
"620",2010-01-12 21:10:19,116520.9
"621",2010-01-12 21:10:20,116521
"622",2010-01-12 21:10:21,116520.9
"623",2010-01-12 21:10:22,116521.05
"624",2010-01-12 21:10:23,116521.15
"625",2010-01-12 21:10:24,116521.65
"626",2010-01-12 21:10:25,116522.85
"627",2010-01-12 21:10:26,116521.4
"628",2010-01-12 21:10:27,116521.35
"629",2010-01-12 21:10:28,116522.55
"630",2010-01-12 21:10:29,116521.85
"631",2010-01-12 21:10:30,116522.6
"632",2010-01-12 21:10:31,116521.7
"633",2010-01-12 21:10:32,116521.3
"634",2010-01-12 21:10:33,116520.65
"635",2010-01-12 21:10:34,116521.95
"636",2010-01-12 21:10:35,116523
"637",2010-01-12 21:10:36,116523.15
"638",2010-01-12 21:10:37,116522.45
"639",2010-01-12 21:10:38,116522.3
"640",2010-01-12 21:10:39,116522.8
"641",2010-01-12 21:10:40,116521.45
"642",2010-01-12 21:10:41,116522.15
"643",2010-01-12 21:10:42,116521.6
"644",2010-01-12 21:10:43,116521.5
"645",2010-01-12 21:10:44,116522.2
"646",2010-01-12 21:10:45,116522.15
"647",2010-01-12 21:10:46,116522.45
"648",2010-01-12 21:10:47,116523.65
"649",2010-01-12 21:10:48,116520.7
"650",2010-01-12 21:10:49,116521.3
"651",2010-01-12 21:10:50,116521.5
"652",2010-01-12 21:10:51,116522
"653",2010-01-12 21:10:52,116520.65
"654",2010-01-12 21:10:53,116521.25
"655",2010-01-12 21:10:54,116522.45
"656",2010-01-12 21:10:55,116521
"657",2010-01-12 21:10:56,116520.05
"658",2010-01-12 21:10:57,116520.65
"659",2010-01-12 21:10:58,116521.8
"660",2010-01-12 21:10:59,116521.05
"661",2010-01-12 21:11:00,116522.5
"662",2010-01-12 21:11:01,116522.95
"663",2010-01-12 21:11:02,116521.95
"664",2010-01-12 21:11:03,116521.3
"665",2010-01-12 21:11:04,116521.4
