"","DateTime","G.HDC.00.BHZ.M"
"255",2010-01-12 21:04:14,2669.6
"256",2010-01-12 21:04:15,1119.4
"257",2010-01-12 21:04:16,1276.35
"258",2010-01-12 21:04:17,2319.55
"259",2010-01-12 21:04:18,3505.8
"260",2010-01-12 21:04:19,-1554.8
"261",2010-01-12 21:04:20,778.15
"262",2010-01-12 21:04:21,3562.55
"263",2010-01-12 21:04:22,1634.2
"264",2010-01-12 21:04:23,1496.7
"265",2010-01-12 21:04:24,1065.05
"266",2010-01-12 21:04:25,1212.95
"267",2010-01-12 21:04:26,1580.1
"268",2010-01-12 21:04:27,2739.1
"269",2010-01-12 21:04:28,1310.95
"270",2010-01-12 21:04:29,2032.65
"271",2010-01-12 21:04:30,1273
"272",2010-01-12 21:04:31,743.1
"273",2010-01-12 21:04:32,2760.55
"274",2010-01-12 21:04:33,744
"275",2010-01-12 21:04:34,2186.3
"276",2010-01-12 21:04:35,1734.5
"277",2010-01-12 21:04:36,920.3
"278",2010-01-12 21:04:37,2489.55
"279",2010-01-12 21:04:38,914.75
"280",2010-01-12 21:04:39,1376.9
"281",2010-01-12 21:04:40,2448.75
"282",2010-01-12 21:04:41,1587.4
"283",2010-01-12 21:04:42,2085.5
"284",2010-01-12 21:04:43,957.15
"285",2010-01-12 21:04:44,-89.7
"286",2010-01-12 21:04:45,2558.5
"287",2010-01-12 21:04:46,2633.4
"288",2010-01-12 21:04:47,542.3
"289",2010-01-12 21:04:48,2852
"290",2010-01-12 21:04:49,2392.7
"291",2010-01-12 21:04:50,1513.3
"292",2010-01-12 21:04:51,311.2
"293",2010-01-12 21:04:52,-38.2
"294",2010-01-12 21:04:53,3283.75
"295",2010-01-12 21:04:54,2373.05
"296",2010-01-12 21:04:55,2430.2
"297",2010-01-12 21:04:56,1906.5
"298",2010-01-12 21:04:57,-298.95
"299",2010-01-12 21:04:58,1530.25
"300",2010-01-12 21:04:59,1455.45
"301",2010-01-12 21:05:00,1429.85
"302",2010-01-12 21:05:01,3160.9
"303",2010-01-12 21:05:02,3042.3
"304",2010-01-12 21:05:03,-532.1
"305",2010-01-12 21:05:04,2202.9
"306",2010-01-12 21:05:05,176.1
"307",2010-01-12 21:05:06,811.95
"308",2010-01-12 21:05:07,4202.2
"309",2010-01-12 21:05:08,2679.35
"310",2010-01-12 21:05:09,642.4
"311",2010-01-12 21:05:10,759.65
