"","DateTime","IU.SDV.00.BHZ.M"
"221",2010-01-12 21:03:40,-292258.1
"222",2010-01-12 21:03:41,-292004.75
"223",2010-01-12 21:03:42,-291889
"224",2010-01-12 21:03:43,-291813
"225",2010-01-12 21:03:44,-291880.45
"226",2010-01-12 21:03:45,-291936.25
"227",2010-01-12 21:03:46,-291795.55
"228",2010-01-12 21:03:47,-291749.35
"229",2010-01-12 21:03:48,-291618.1
"230",2010-01-12 21:03:49,-291529.6
"231",2010-01-12 21:03:50,-291597.1
"232",2010-01-12 21:03:51,-291604.8
"233",2010-01-12 21:03:52,-291502.55
"234",2010-01-12 21:03:53,-291403.5
"235",2010-01-12 21:03:54,-291435.9
"236",2010-01-12 21:03:55,-291473.5
"237",2010-01-12 21:03:56,-291475.8
"238",2010-01-12 21:03:57,-291253.45
"239",2010-01-12 21:03:58,-291144.65
"240",2010-01-12 21:03:59,-291275.55
"241",2010-01-12 21:04:00,-291369.1
"242",2010-01-12 21:04:01,-291228.5
"243",2010-01-12 21:04:02,-291180.85
"244",2010-01-12 21:04:03,-291154.45
"245",2010-01-12 21:04:04,-291130.35
"246",2010-01-12 21:04:05,-291116.35
"247",2010-01-12 21:04:06,-291083.25
"248",2010-01-12 21:04:07,-291108.25
"249",2010-01-12 21:04:08,-291125.4
"250",2010-01-12 21:04:09,-291252.3
"251",2010-01-12 21:04:10,-290991.2
"252",2010-01-12 21:04:11,-290927.7
"253",2010-01-12 21:04:12,-291036.6
"254",2010-01-12 21:04:13,-291165.05
"255",2010-01-12 21:04:14,-291040.1
"256",2010-01-12 21:04:15,-290897.1
"257",2010-01-12 21:04:16,-291038.6
"258",2010-01-12 21:04:17,-291118.8
"259",2010-01-12 21:04:18,-291038.8
"260",2010-01-12 21:04:19,-290914.85
"261",2010-01-12 21:04:20,-290963
"262",2010-01-12 21:04:21,-291165.3
"263",2010-01-12 21:04:22,-291125.95
"264",2010-01-12 21:04:23,-291028
"265",2010-01-12 21:04:24,-290990.9
"266",2010-01-12 21:04:25,-291103.8
"267",2010-01-12 21:04:26,-291229.7
"268",2010-01-12 21:04:27,-291183.3
"269",2010-01-12 21:04:28,-291177.7
"270",2010-01-12 21:04:29,-291243.85
"271",2010-01-12 21:04:30,-291338.85
"272",2010-01-12 21:04:31,-291331.85
"273",2010-01-12 21:04:32,-291221.7
"274",2010-01-12 21:04:33,-291295.75
"275",2010-01-12 21:04:34,-291418.3
"276",2010-01-12 21:04:35,-291471.15
"277",2010-01-12 21:04:36,-291381.05
"278",2010-01-12 21:04:37,-291412.5
"279",2010-01-12 21:04:38,-291595.2
"280",2010-01-12 21:04:39,-291653.35
"281",2010-01-12 21:04:40,-291602.1
"282",2010-01-12 21:04:41,-291560.85
"283",2010-01-12 21:04:42,-291554.2
"284",2010-01-12 21:04:43,-291765.55
"285",2010-01-12 21:04:44,-291958.9
"286",2010-01-12 21:04:45,-291860.05
"287",2010-01-12 21:04:46,-291786.3
"288",2010-01-12 21:04:47,-291833.55
"289",2010-01-12 21:04:48,-291969.35
"290",2010-01-12 21:04:49,-292165.1
"291",2010-01-12 21:04:50,-292209.85
"292",2010-01-12 21:04:51,-292060.8
"293",2010-01-12 21:04:52,-292141.65
"294",2010-01-12 21:04:53,-292411.15
"295",2010-01-12 21:04:54,-292407.8
"296",2010-01-12 21:04:55,-292337.05
"297",2010-01-12 21:04:56,-292413.05
"298",2010-01-12 21:04:57,-292649
"299",2010-01-12 21:04:58,-292709.95
"300",2010-01-12 21:04:59,-292635.65
"301",2010-01-12 21:05:00,-292850.05
"302",2010-01-12 21:05:01,-293010.05
"303",2010-01-12 21:05:02,-292925.55
"304",2010-01-12 21:05:03,-293017.05
"305",2010-01-12 21:05:04,-293144.2
"306",2010-01-12 21:05:05,-293349.4
"307",2010-01-12 21:05:06,-293335.05
"308",2010-01-12 21:05:07,-293303.7
"309",2010-01-12 21:05:08,-293444.1
"310",2010-01-12 21:05:09,-293673.4
"311",2010-01-12 21:05:10,-293677.35
"312",2010-01-12 21:05:11,-293613.9
"313",2010-01-12 21:05:12,-293771.25
"314",2010-01-12 21:05:13,-293889.9
"315",2010-01-12 21:05:14,-293996
"316",2010-01-12 21:05:15,-294098.3
"317",2010-01-12 21:05:16,-294167.85
"318",2010-01-12 21:05:17,-294183.25
"319",2010-01-12 21:05:18,-294205
"320",2010-01-12 21:05:19,-294399.1
"321",2010-01-12 21:05:20,-294533.75
"322",2010-01-12 21:05:21,-294576.55
"323",2010-01-12 21:05:22,-294615.3
"324",2010-01-12 21:05:23,-294747.55
"325",2010-01-12 21:05:24,-294739.1
"326",2010-01-12 21:05:25,-294993.3
"327",2010-01-12 21:05:26,-294910.5
"328",2010-01-12 21:05:27,-294946
"329",2010-01-12 21:05:28,-295186.25
"330",2010-01-12 21:05:29,-295446.65
"331",2010-01-12 21:05:30,-295379.1
"332",2010-01-12 21:05:31,-295354.05
"333",2010-01-12 21:05:32,-295527.15
"334",2010-01-12 21:05:33,-295632.65
"335",2010-01-12 21:05:34,-295699.85
"336",2010-01-12 21:05:35,-295804.95
"337",2010-01-12 21:05:36,-295959
"338",2010-01-12 21:05:37,-296137.35
"339",2010-01-12 21:05:38,-296103.3
"340",2010-01-12 21:05:39,-296125.7
"341",2010-01-12 21:05:40,-296177.7
"342",2010-01-12 21:05:41,-296436.25
"343",2010-01-12 21:05:42,-296576.35
"344",2010-01-12 21:05:43,-296630.15
"345",2010-01-12 21:05:44,-296659.5
"346",2010-01-12 21:05:45,-296730.4
"347",2010-01-12 21:05:46,-296835.6
"348",2010-01-12 21:05:47,-297035.1
"349",2010-01-12 21:05:48,-297115.8
"350",2010-01-12 21:05:49,-297097.9
"351",2010-01-12 21:05:50,-297309.55
"352",2010-01-12 21:05:51,-297439.25
"353",2010-01-12 21:05:52,-297373.9
"354",2010-01-12 21:05:53,-297548.4
"355",2010-01-12 21:05:54,-297708.1
"356",2010-01-12 21:05:55,-297836.85
"357",2010-01-12 21:05:56,-297804.05
"358",2010-01-12 21:05:57,-297825.35
"359",2010-01-12 21:05:58,-297953.3
"360",2010-01-12 21:05:59,-298184.85
"361",2010-01-12 21:06:00,-298321.3
"362",2010-01-12 21:06:01,-298154.6
"363",2010-01-12 21:06:02,-298308.75
"364",2010-01-12 21:06:03,-298497.3
"365",2010-01-12 21:06:04,-298676.5
"366",2010-01-12 21:06:05,-298620.6
