"","DateTime","CU.GRTK..BHZ.M"
"221",2010-01-12 21:03:40,-1753.55
"222",2010-01-12 21:03:41,2632.7
"223",2010-01-12 21:03:42,-1.85
"224",2010-01-12 21:03:43,2643.6
"225",2010-01-12 21:03:44,-2156.15
"226",2010-01-12 21:03:45,-1200.525
"227",2010-01-12 21:03:46,1600.35
"228",2010-01-12 21:03:47,1364.825
"229",2010-01-12 21:03:48,718.875
"230",2010-01-12 21:03:49,-37.775
"231",2010-01-12 21:03:50,-950.625
"232",2010-01-12 21:03:51,717.9
"233",2010-01-12 21:03:52,2102.975
"234",2010-01-12 21:03:53,-2263.85
"235",2010-01-12 21:03:54,1132.15
"236",2010-01-12 21:03:55,-839.7
"237",2010-01-12 21:03:56,3149.75
"238",2010-01-12 21:03:57,1622.6
"239",2010-01-12 21:03:58,-3810.675
"240",2010-01-12 21:03:59,-158.85
"241",2010-01-12 21:04:00,2247.65
"242",2010-01-12 21:04:01,1547.075
"243",2010-01-12 21:04:02,1284.975
"244",2010-01-12 21:04:03,-3169.9
"245",2010-01-12 21:04:04,-435.625
"246",2010-01-12 21:04:05,2406.9
"247",2010-01-12 21:04:06,692.875
"248",2010-01-12 21:04:07,981.475
"249",2010-01-12 21:04:08,-477.575
"250",2010-01-12 21:04:09,-2182.45
"251",2010-01-12 21:04:10,1088.85
"252",2010-01-12 21:04:11,3872.275
"253",2010-01-12 21:04:12,-573.9
"254",2010-01-12 21:04:13,-2947.25
"255",2010-01-12 21:04:14,1969.3
"256",2010-01-12 21:04:15,3068.75
"257",2010-01-12 21:04:16,-3661.95
"258",2010-01-12 21:04:17,1024.65
"259",2010-01-12 21:04:18,2764.275
"260",2010-01-12 21:04:19,-2441.9
"261",2010-01-12 21:04:20,2521.55
"262",2010-01-12 21:04:21,1551.725
"263",2010-01-12 21:04:22,-3249.2
"264",2010-01-12 21:04:23,2581.425
"265",2010-01-12 21:04:24,-2319.6
"266",2010-01-12 21:04:25,-1381.375
"267",2010-01-12 21:04:26,6473.65
"268",2010-01-12 21:04:27,-2716.85
"269",2010-01-12 21:04:28,-6.95
"270",2010-01-12 21:04:29,735.525
"271",2010-01-12 21:04:30,2063.85
"272",2010-01-12 21:04:31,-1531.425
"273",2010-01-12 21:04:32,1476.125
"274",2010-01-12 21:04:33,484.475
"275",2010-01-12 21:04:34,11.675
"276",2010-01-12 21:04:35,-1396.575
"277",2010-01-12 21:04:36,1393.8
"278",2010-01-12 21:04:37,1675.275
"279",2010-01-12 21:04:38,-2270.4
"280",2010-01-12 21:04:39,1781.3
"281",2010-01-12 21:04:40,1322.7
"282",2010-01-12 21:04:41,-1041.825
"283",2010-01-12 21:04:42,639.55
"284",2010-01-12 21:04:43,553.25
"285",2010-01-12 21:04:44,769.025
"286",2010-01-12 21:04:45,-581.4
"287",2010-01-12 21:04:46,-1465.5
"288",2010-01-12 21:04:47,-197.65
"289",2010-01-12 21:04:48,4468.825
"290",2010-01-12 21:04:49,-1445.575
"291",2010-01-12 21:04:50,71.875
"292",2010-01-12 21:04:51,1903.5
"293",2010-01-12 21:04:52,-2976.975
"294",2010-01-12 21:04:53,2182.25
"295",2010-01-12 21:04:54,-119.825
"296",2010-01-12 21:04:55,960.85
"297",2010-01-12 21:04:56,1764.85
"298",2010-01-12 21:04:57,-1646.575
"299",2010-01-12 21:04:58,-1941.775
"300",2010-01-12 21:04:59,3350.5
"301",2010-01-12 21:05:00,375.95
"302",2010-01-12 21:05:01,606.4
"303",2010-01-12 21:05:02,-554.675
"304",2010-01-12 21:05:03,1016.1
"305",2010-01-12 21:05:04,-2481.525
"306",2010-01-12 21:05:05,3933.45
"307",2010-01-12 21:05:06,302.275
"308",2010-01-12 21:05:07,1324.475
"309",2010-01-12 21:05:08,-2695.9
