"","DateTime","CU.MTDJ..BHZ.M"
"294",2010-01-12 21:04:53,520.8
"295",2010-01-12 21:04:54,1323.275
"296",2010-01-12 21:04:55,5623.4
"297",2010-01-12 21:04:56,242.775
"298",2010-01-12 21:04:57,1395.325
"299",2010-01-12 21:04:58,369.325
"300",2010-01-12 21:04:59,3048.35
"301",2010-01-12 21:05:00,4741.2
"302",2010-01-12 21:05:01,-1634.225
"303",2010-01-12 21:05:02,1740.525
"304",2010-01-12 21:05:03,2548.6
"305",2010-01-12 21:05:04,4026.925
"306",2010-01-12 21:05:05,334.95
"307",2010-01-12 21:05:06,-690.625
"308",2010-01-12 21:05:07,4770.225
"309",2010-01-12 21:05:08,3359.4
"310",2010-01-12 21:05:09,-675.175
"311",2010-01-12 21:05:10,2085.075
"312",2010-01-12 21:05:11,3722.175
"313",2010-01-12 21:05:12,1878.25
"314",2010-01-12 21:05:13,-2537.225
"315",2010-01-12 21:05:14,5871.2
"316",2010-01-12 21:05:15,2925.475
"317",2010-01-12 21:05:16,-388.175
"318",2010-01-12 21:05:17,963.875
"319",2010-01-12 21:05:18,3694.875
"320",2010-01-12 21:05:19,646.475
"321",2010-01-12 21:05:20,4470.95
"322",2010-01-12 21:05:21,409.15
"323",2010-01-12 21:05:22,-1906.225
"324",2010-01-12 21:05:23,7065.775
"325",2010-01-12 21:05:24,945.125
"326",2010-01-12 21:05:25,217.6
"327",2010-01-12 21:05:26,2791.125
"328",2010-01-12 21:05:27,2576.65
"329",2010-01-12 21:05:28,593.2
"330",2010-01-12 21:05:29,4284.05
"331",2010-01-12 21:05:30,-2137.05
"332",2010-01-12 21:05:31,3733.75
"333",2010-01-12 21:05:32,3874.425
"334",2010-01-12 21:05:33,347.75
"335",2010-01-12 21:05:34,2057.55
"336",2010-01-12 21:05:35,1348.2
"337",2010-01-12 21:05:36,2726.825
"338",2010-01-12 21:05:37,1269.775
"339",2010-01-12 21:05:38,1166.925
"340",2010-01-12 21:05:39,3126.725
"341",2010-01-12 21:05:40,2454.5
"342",2010-01-12 21:05:41,2310.775
"343",2010-01-12 21:05:42,-2314
"344",2010-01-12 21:05:43,4524.325
"345",2010-01-12 21:05:44,4790.825
"346",2010-01-12 21:05:45,-983.65
"347",2010-01-12 21:05:46,-349.975
"348",2010-01-12 21:05:47,6774.225
"349",2010-01-12 21:05:48,-145.3
"350",2010-01-12 21:05:49,345.725
"351",2010-01-12 21:05:50,1833.425
"352",2010-01-12 21:05:51,4658.8
"353",2010-01-12 21:05:52,-170.875
"354",2010-01-12 21:05:53,2767.25
"355",2010-01-12 21:05:54,2786.625
"356",2010-01-12 21:05:55,-733
"357",2010-01-12 21:05:56,2950.825
"358",2010-01-12 21:05:57,1965.6
"359",2010-01-12 21:05:58,1524.975
"360",2010-01-12 21:05:59,4289.25
"361",2010-01-12 21:06:00,-753.05
"362",2010-01-12 21:06:01,2571.75
"363",2010-01-12 21:06:02,1622.075
"364",2010-01-12 21:06:03,2931.575
"365",2010-01-12 21:06:04,3159.05
"366",2010-01-12 21:06:05,-3422.125
"367",2010-01-12 21:06:06,7058.675
"368",2010-01-12 21:06:07,1418.35
"369",2010-01-12 21:06:08,-444.15
"370",2010-01-12 21:06:09,1759.075
"371",2010-01-12 21:06:10,3922.05
"372",2010-01-12 21:06:11,1087
"373",2010-01-12 21:06:12,2123.25
"374",2010-01-12 21:06:13,2145.7
"375",2010-01-12 21:06:14,1574.175
"376",2010-01-12 21:06:15,331.3
"377",2010-01-12 21:06:16,3411.125
"378",2010-01-12 21:06:17,3409.3
"379",2010-01-12 21:06:18,-574.375
"380",2010-01-12 21:06:19,1766.975
"381",2010-01-12 21:06:20,3913.275
"382",2010-01-12 21:06:21,2531.35
"383",2010-01-12 21:06:22,-545.25
"384",2010-01-12 21:06:23,593.075
"385",2010-01-12 21:06:24,7418.125
"386",2010-01-12 21:06:25,-3021.2
"387",2010-01-12 21:06:26,1537.5
"388",2010-01-12 21:06:27,7500.325
"389",2010-01-12 21:06:28,-2462.2
"390",2010-01-12 21:06:29,-816.775
"391",2010-01-12 21:06:30,7804.9
"392",2010-01-12 21:06:31,-493.9
"393",2010-01-12 21:06:32,838.9
"394",2010-01-12 21:06:33,1922.1
"395",2010-01-12 21:06:34,4776.6
"396",2010-01-12 21:06:35,-537.625
"397",2010-01-12 21:06:36,1363
"398",2010-01-12 21:06:37,3239.975
"399",2010-01-12 21:06:38,1660.275
"400",2010-01-12 21:06:39,2624.925
"401",2010-01-12 21:06:40,-475.95
"402",2010-01-12 21:06:41,3162.75
"403",2010-01-12 21:06:42,4424.75
"404",2010-01-12 21:06:43,-2557.65
