"","DateTime","PR.AOPR..BHZ.M"
"407",2010-01-12 21:06:46,-382.15
"408",2010-01-12 21:06:47,-474.4
"409",2010-01-12 21:06:48,-309.95
"410",2010-01-12 21:06:49,-593.45
"411",2010-01-12 21:06:50,-517.8
"412",2010-01-12 21:06:51,-232.3
"413",2010-01-12 21:06:52,-815.15
"414",2010-01-12 21:06:53,-413.2
"415",2010-01-12 21:06:54,-149.8
"416",2010-01-12 21:06:55,-404
"417",2010-01-12 21:06:56,-919.45
"418",2010-01-12 21:06:57,-657.55
"419",2010-01-12 21:06:58,-287.65
"420",2010-01-12 21:06:59,-731.55
"421",2010-01-12 21:07:00,-794.85
"422",2010-01-12 21:07:01,-810.75
"423",2010-01-12 21:07:02,-642.25
"424",2010-01-12 21:07:03,-502.6
"425",2010-01-12 21:07:04,-596.05
"426",2010-01-12 21:07:05,-936
"427",2010-01-12 21:07:06,-421.5
"428",2010-01-12 21:07:07,-255
"429",2010-01-12 21:07:08,-866.95
"430",2010-01-12 21:07:09,-488.75
"431",2010-01-12 21:07:10,-667.3
"432",2010-01-12 21:07:11,-317.6
"433",2010-01-12 21:07:12,-554.2
"434",2010-01-12 21:07:13,-664.1
"435",2010-01-12 21:07:14,-359.25
"436",2010-01-12 21:07:15,-387.4
"437",2010-01-12 21:07:16,-672.1
"438",2010-01-12 21:07:17,-266.25
"439",2010-01-12 21:07:18,-261.4
"440",2010-01-12 21:07:19,-574.9
"441",2010-01-12 21:07:20,-372.1
"442",2010-01-12 21:07:21,-165.6
"443",2010-01-12 21:07:22,-348.05
"444",2010-01-12 21:07:23,-884.7
"445",2010-01-12 21:07:24,-100.4
"446",2010-01-12 21:07:25,10.25
"447",2010-01-12 21:07:26,-510.55
"448",2010-01-12 21:07:27,-798.75
"449",2010-01-12 21:07:28,-634.1
"450",2010-01-12 21:07:29,-599.55
"451",2010-01-12 21:07:30,-466.9
"452",2010-01-12 21:07:31,-535.8
"453",2010-01-12 21:07:32,-584.95
"454",2010-01-12 21:07:33,-420.3
"455",2010-01-12 21:07:34,-331
"456",2010-01-12 21:07:35,118
"457",2010-01-12 21:07:36,-624.3
"458",2010-01-12 21:07:37,-978.1
"459",2010-01-12 21:07:38,-333.75
"460",2010-01-12 21:07:39,396.95
"461",2010-01-12 21:07:40,-356.95
"462",2010-01-12 21:07:41,-857.5
"463",2010-01-12 21:07:42,-435.9
"464",2010-01-12 21:07:43,-145.35
"465",2010-01-12 21:07:44,-199.95
"466",2010-01-12 21:07:45,-654.1
"467",2010-01-12 21:07:46,-603.3
"468",2010-01-12 21:07:47,-496.3
"469",2010-01-12 21:07:48,-402.35
"470",2010-01-12 21:07:49,-327.4
"471",2010-01-12 21:07:50,-452.65
"472",2010-01-12 21:07:51,-780.55
"473",2010-01-12 21:07:52,-654.05
"474",2010-01-12 21:07:53,-166.95
"475",2010-01-12 21:07:54,-496.8
"476",2010-01-12 21:07:55,-950.25
"477",2010-01-12 21:07:56,-787.95
"478",2010-01-12 21:07:57,-494.6
"479",2010-01-12 21:07:58,-469.35
"480",2010-01-12 21:07:59,-860.35
"481",2010-01-12 21:08:00,-950
"482",2010-01-12 21:08:01,-652.15
"483",2010-01-12 21:08:02,-464.05
"484",2010-01-12 21:08:03,-638.6
"485",2010-01-12 21:08:04,-637.75
"486",2010-01-12 21:08:05,-1119.75
"487",2010-01-12 21:08:06,-836.05
"488",2010-01-12 21:08:07,-487.45
"489",2010-01-12 21:08:08,-623.7
"490",2010-01-12 21:08:09,-536.15
"491",2010-01-12 21:08:10,-495.45
"492",2010-01-12 21:08:11,-494.6
"493",2010-01-12 21:08:12,-300.75
"494",2010-01-12 21:08:13,-612.35
"495",2010-01-12 21:08:14,-1038.75
"496",2010-01-12 21:08:15,-541.5
"497",2010-01-12 21:08:16,-459.6
"498",2010-01-12 21:08:17,-309.6
"499",2010-01-12 21:08:18,-433.9
"500",2010-01-12 21:08:19,-331.8
"501",2010-01-12 21:08:20,-793.7
"502",2010-01-12 21:08:21,-487.7
"503",2010-01-12 21:08:22,-175.3
"504",2010-01-12 21:08:23,-475.95
"505",2010-01-12 21:08:24,-936.25
"506",2010-01-12 21:08:25,-461.7
"507",2010-01-12 21:08:26,-410.4
"508",2010-01-12 21:08:27,-1067.4
"509",2010-01-12 21:08:28,-989.95
"510",2010-01-12 21:08:29,-575.25
"511",2010-01-12 21:08:30,-301.65
"512",2010-01-12 21:08:31,-690.2
"513",2010-01-12 21:08:32,-688.6
"514",2010-01-12 21:08:33,-729.3
"515",2010-01-12 21:08:34,-532.9
"516",2010-01-12 21:08:35,-375
"517",2010-01-12 21:08:36,-605.7
"518",2010-01-12 21:08:37,-778.9
"519",2010-01-12 21:08:38,-247.2
"520",2010-01-12 21:08:39,-223.2
"521",2010-01-12 21:08:40,-379.5
"522",2010-01-12 21:08:41,-1065.35
"523",2010-01-12 21:08:42,-607.35
"524",2010-01-12 21:08:43,-55.45
"525",2010-01-12 21:08:44,-366.55
"526",2010-01-12 21:08:45,-497
"527",2010-01-12 21:08:46,-641.85
"528",2010-01-12 21:08:47,-127.6
"529",2010-01-12 21:08:48,73.6
"530",2010-01-12 21:08:49,-557.3
"531",2010-01-12 21:08:50,-669.1
"532",2010-01-12 21:08:51,-353.6
"533",2010-01-12 21:08:52,-320.85
"534",2010-01-12 21:08:53,-149.25
"535",2010-01-12 21:08:54,-398.75
"536",2010-01-12 21:08:55,-909.65
"537",2010-01-12 21:08:56,-556.2
"538",2010-01-12 21:08:57,-246.35
"539",2010-01-12 21:08:58,-404.6
"540",2010-01-12 21:08:59,-714.5
